   2.18    7.19
   6.79    3.13
   8.30    4.79
   5.34    7.79
   6.86    5.22
   9.19    7.14
   6.53    1.66
   7.01    4.22
   9.10    3.18
   7.36    4.57
   6.32    1.43
   7.22    3.20
   7.53    4.63
   7.26    8.77
   2.72    6.48
   7.66    3.92
   3.59    6.43
   9.04    1.86
   4.93    5.48
   2.66    7.36
   7.37    7.90
   5.29    4.00
   4.64    5.68
   7.70    1.63
   6.29    2.30
   7.36    6.59
   8.88    2.30
   5.13    3.18
   5.91    2.43
   5.37    3.83
   4.67    6.28
   2.87    7.75
   1.78    7.66
   8.02    2.55
   4.98    3.38
   5.54    5.15
   8.90    3.78
   6.24    8.59
   7.14    5.03
   2.39    6.70
   6.81    6.02
   1.47    8.76
   5.87    4.73
   5.90    4.82
   5.56    1.58
   4.08    6.72
   5.64    4.23
   4.88    2.41
   6.51    5.44
   2.47    9.16
   4.76    5.78
   3.89    5.27
   2.03    7.10
   9.47    3.31
   1.31    7.56
   8.85    2.88
   9.21    7.36
   3.65    5.40
   2.53    7.67
   7.83    5.08
   3.49    7.33
   2.15    8.65
   6.79    2.04
   2.50    8.28
   8.60    3.93
   8.17    4.90
   7.55    1.74
   8.24    3.68
   1.03    7.95
   5.76    3.00
   8.76    2.93
   4.40    5.05
   8.69    2.88
   8.86    1.38
   4.63    5.55
   7.13    4.76
   6.67    2.46
   6.82    4.08
   3.15    6.88
   4.67    5.31
   3.19    8.89
   6.82    4.81
   8.36    1.43
   7.08    4.83
   8.28    3.25
   2.13    6.54
   3.89    6.19
   7.76    3.08
   7.83    2.37
   2.82    9.22
   8.19    1.68
   6.01    2.76
   8.28    5.09
   1.57    8.38
   2.33    7.26
   6.34    3.32
   7.94    4.51
   6.96    3.89
   7.52    3.32
   6.69    5.04
   6.33    4.28
   2.27    8.48
   6.99    2.68
   5.26    4.77
   3.29    7.54
   4.85    4.02
   8.60    3.88
   5.56    2.27
   7.38    4.86
   5.28    3.03
   3.10    5.92
   5.88    5.13
   5.18    5.20
   3.70    7.23
   4.75    2.96
   7.82    7.64
   3.69    5.86
   6.71    2.16
   6.76    7.97
   5.13    3.18
   7.28    1.78
   7.20    4.72
   3.21    7.48
   4.60    3.48
   6.61    6.40
   6.05    1.41
   6.70    4.93
   5.22    2.97
   2.66    7.02
   2.46    6.61
   8.17    5.14
   1.60    8.85
   7.07    1.35
   4.36    5.08
   7.51    1.95
   9.03    3.48
   5.84    8.05 
   6.26    4.77 
   6.59    1.38 
   5.38    1.30 
